week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2025-01-06,P001,S001,262,6,109,159,0
2025-01-13,P001,S001,159,153,104,208,0
2025-01-20,P001,S001,208,60,112,156,0
2025-01-27,P001,S001,156,64,96,124,0
2025-02-03,P001,S001,124,129,104,149,0
2025-02-10,P001,S001,149,76,88,137,0
2025-02-17,P001,S001,137,165,92,210,0
2025-02-24,P001,S001,210,30,95,145,0
2025-03-03,P001,S001,145,50,100,95,0
2025-03-10,P001,S001,95,186,85,196,0
2025-03-17,P001,S001,196,37,95,138,0
2025-03-24,P001,S001,138,103,102,139,0
2025-03-31,P001,S001,139,115,122,132,0
2025-04-07,P001,S001,132,99,79,152,0
2025-04-14,P001,S001,152,164,121,195,0
2025-04-21,P001,S001,195,65,89,171,0
2025-04-28,P001,S001,171,50,88,133,0
2025-05-05,P001,S001,133,92,89,136,0
2025-05-12,P001,S001,136,149,102,183,0
2025-05-19,P001,S001,183,74,137,120,0
2025-05-26,P001,S001,120,159,94,185,0
2025-06-02,P001,S001,185,179,141,223,0
2025-06-09,P001,S001,223,26,103,146,0
2025-06-16,P001,S001,146,89,92,143,0
2025-01-06,P002,S001,327,0,98,229,0
2025-01-13,P002,S001,229,7,94,142,0
2025-01-20,P002,S001,142,146,109,179,0
2025-01-27,P002,S001,179,119,109,189,0
2025-02-03,P002,S001,189,10,88,111,0
2025-02-10,P002,S001,111,112,93,130,0
2025-02-17,P002,S001,130,104,76,158,0
2025-02-24,P002,S001,158,0,82,76,0
2025-03-03,P002,S001,76,145,98,123,0
2025-03-10,P002,S001,123,140,122,141,0
2025-03-17,P002,S001,141,156,130,167,0
2025-03-24,P002,S001,167,67,90,144,0
2025-03-31,P002,S001,144,69,93,120,0
2025-04-07,P002,S001,120,173,165,128,0
2025-04-14,P002,S001,128,185,108,205,0
2025-04-21,P002,S001,205,132,106,231,0
2025-04-28,P002,S001,231,15,79,167,0
2025-05-05,P002,S001,167,90,93,164,0
2025-05-12,P002,S001,164,80,112,132,0
2025-05-19,P002,S001,132,70,81,121,0
2025-05-26,P002,S001,121,79,79,121,0
2025-06-02,P002,S001,121,37,82,76,0
2025-06-09,P002,S001,76,186,90,172,0
2025-06-16,P002,S001,172,28,92,108,0
