week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2025-01-06,P001,S001,North,109,10404.05,0,,0.0
2025-01-06,P001,S002,South,87,8304.15,0,,0.0
2025-01-06,P001,S003,East,110,10499.5,0,,0.0
2025-01-06,P001,S004,West,119,9643.41,1,Price Cut,15.1
2025-01-06,P001,S005,North,82,7826.9,0,,0.0
2025-01-06,P001,S006,South,102,9735.9,0,,0.0
2025-01-06,P001,S007,East,99,9449.55,0,,0.0
2025-01-06,P001,S008,West,112,10690.4,0,,0.0
2025-01-06,P001,S009,North,84,8017.8,0,,0.0
2025-01-06,P001,S010,South,92,8781.4,0,,0.0
2025-01-06,P001,S011,East,79,7540.55,0,,0.0
2025-01-06,P001,S012,West,156,7594.0,1,BOGO,49.0
2025-01-06,P001,S013,North,105,10022.25,0,,0.0
2025-01-06,P001,S014,South,86,8208.7,0,,0.0
2025-01-06,P001,S015,East,86,8208.7,0,,0.0
2025-01-06,P001,S016,West,103,9831.35,0,,0.0
2025-01-06,P001,S017,North,82,7826.9,0,,0.0
2025-01-06,P001,S018,South,101,9640.45,0,,0.0
2025-01-06,P001,S019,East,91,8685.95,0,,0.0
2025-01-06,P001,S020,West,102,9735.9,0,,0.0
2025-01-06,P001,S021,North,77,7349.65,0,,0.0
2025-01-06,P001,S022,South,91,8685.95,0,,0.0
2025-01-06,P001,S023,East,106,10117.7,0,,0.0
2025-01-06,P001,S024,West,118,11263.1,0,,0.0
2025-01-06,P001,S025,North,101,9640.45,0,,0.0
2025-01-06,P001,S026,South,117,11167.65,0,,0.0
2025-01-06,P001,S027,East,108,10308.6,0,,0.0
2025-01-06,P001,S028,West,125,11931.25,0,,0.0
2025-01-06,P001,S029,North,91,8685.95,0,,0.0
2025-01-06,P001,S030,South,122,11644.9,0,,0.0
2025-01-06,P002,S001,North,98,3749.48,0,,0.0
2025-01-06,P002,S002,South,112,4285.12,0,,0.0
2025-01-06,P002,S003,East,126,4791.84,1,Display Feature,0.6
2025-01-06,P002,S004,West,95,3634.7,0,,0.0
2025-01-06,P002,S005,North,113,4323.38,0,,0.0
2025-01-06,P002,S006,South,100,3826.0,0,,0.0
2025-01-06,P002,S007,East,113,4323.38,0,,0.0
2025-01-06,P002,S008,West,114,4361.64,0,,0.0
2025-01-06,P002,S009,North,81,3099.06,0,,0.0
2025-01-06,P002,S010,South,93,3558.18,0,,0.0
2025-01-06,P002,S011,East,91,3481.66,0,,0.0
2025-01-06,P002,S012,West,96,3672.96,0,,0.0
2025-01-06,P002,S013,North,89,3405.14,0,,0.0
2025-01-06,P002,S014,South,108,4132.08,0,,0.0
2025-01-06,P002,S015,East,112,4285.12,0,,0.0
2025-01-06,P002,S016,West,99,3787.74,0,,0.0
2025-01-06,P002,S017,North,99,3787.74,0,,0.0
2025-01-06,P002,S018,South,112,4285.12,0,,0.0
2025-01-06,P002,S019,East,172,3369.33,1,BOGO,48.8
2025-01-06,P002,S020,West,115,4399.9,0,,0.0
2025-01-06,P002,S021,North,110,4208.6,0,,0.0
2025-01-06,P002,S022,South,112,4285.12,0,,0.0
2025-01-06,P002,S023,East,92,3519.92,0,,0.0
2025-01-06,P002,S024,West,90,3443.4,0,,0.0
